"","batch.id","response_type","value"
"516","69196.TAXOL + CFI-402257","TGI","-21.2202"
"517","73471.TAXOL","angle","5.5008"
"518","73471.TAXOL","abc","236.3909"
"519","73471.TAXOL","TGI","15.2609"
"520","73471.ERIBULIN","angle","168.3377"
"521","73471.ERIBULIN","abc","467.1334"
"522","73471.ERIBULIN","TGI","-10.7379"
"523","73471.CDX-011","angle","164.2546"
"524","73471.CDX-011","abc","460.5496"
"525","73471.CDX-011","TGI","-13.3749"
"526","73471.CFI-402257","angle","1.2882"
"527","73471.CFI-402257","abc","5.7792"
"528","73471.CFI-402257","TGI","0.7745"
"529","73471.TAXOL + CFI-402257","angle","9.9756"
"530","73471.TAXOL + CFI-402257","abc","302.4534"
"531","73471.TAXOL + CFI-402257","TGI","-8.3435"
"532","73471.CFI-400945","angle","1.1528"
"533","73471.CFI-400945","abc","18.5699"
"534","73471.CFI-400945","TGI","-16.8282"
"535","73471.BMN673","angle","4.4264"
"536","73471.BMN673","abc","127.5295"
"537","73471.BMN673","TGI","11.1659"
"538","73471.CX5461","angle","5.4544"
"539","73471.CX5461","abc","139.3258"
"540","73471.CX5461","TGI","9.7604"
"541","73471.CARBOPLATIN","angle","87.1163"
"542","73471.CARBOPLATIN","abc","196.7951"
"543","73471.CARBOPLATIN","TGI","34.2847"
"544","REF002BL.CFI-400945","angle","146.0315"
"545","REF002BL.CFI-400945","abc","287.8693"
"546","REF002BL.CFI-400945","TGI","-203.5668"
"547","REF002BL.CFI-402257","angle","-0.2015"
"548","REF002BL.CFI-402257","abc","-61.7724"
"549","REF002BL.CFI-402257","TGI","-1.8436"
"550","REF002BL.BMN673","angle","-1.4046"
"551","REF002BL.BMN673","abc","-31.2485"
"552","REF002BL.BMN673","TGI","-17.7494"
"553","REF002BL.CARBOPLATIN","angle","2.3670"
