id,batch_id,response_type,value
890,297,abc,1.6551
891,297,TGI,2.2018
892,298,angle,168.5694
893,298,abc,132.0429
894,298,TGI,5.7441
895,299,angle,137.7082
896,299,abc,725.4884
897,299,TGI,-440.6829
898,300,angle,10.7484
899,300,abc,622.8859
900,300,TGI,57.0532
901,301,angle,-0.0176
902,301,abc,16.1590
903,301,TGI,-3.5688
904,302,angle,162.4011
905,302,abc,695.9938
906,302,TGI,100.9778
907,303,angle,39.7728
908,303,abc,397.3825
909,303,TGI,33.8622
910,304,angle,17.0113
911,304,abc,311.7940
912,304,TGI,35.0082
913,305,angle,36.6746
914,305,abc,212.8607
915,305,TGI,24.2723
916,306,angle,9.0328
917,306,abc,447.6090
918,306,TGI,444.5789
919,307,angle,1.4923
920,307,abc,8.7857
921,307,TGI,-2.8658
922,308,angle,2.5737
923,308,abc,119.5710
924,308,TGI,5.2506
925,309,angle,7.4815
926,309,abc,325.3806
927,309,TGI,25.3009
928,310,angle,0.5648
929,310,abc,26.6046
930,310,TGI,2.7200
931,311,angle,-0.0554
932,311,abc,-67.5000
933,311,TGI,-39.9065
934,312,angle,0.9985
935,312,abc,150.3565
936,312,TGI,6.7275
937,313,angle,8.2338
938,313,abc,432.1956
939,313,TGI,53.5650
940,314,angle,164.6368
941,314,abc,561.0548
942,314,TGI,-28.3050
943,315,angle,23.8457
944,315,abc,162.3543
945,315,TGI,4.9523
946,316,angle,0.1748
947,316,abc,-14.1796
948,316,TGI,-25.8800
949,317,angle,6.2667
950,317,abc,325.9663
951,317,TGI,16.1722
952,318,angle,1.1379
953,318,abc,33.0634
954,318,TGI,-49.2078
955,319,angle,1.2045
956,319,abc,162.7646
957,319,TGI,-3.3391
958,320,angle,NA
959,320,abc,NA
960,320,TGI,NA
961,321,angle,NA
962,321,abc,NA
963,321,TGI,NA
964,322,angle,NA
965,322,abc,NA
966,322,TGI,NA
967,323,angle,NA
968,323,abc,NA
969,323,TGI,NA
970,324,angle,NA
971,324,abc,NA
972,324,TGI,NA
973,325,angle,NA
974,325,abc,NA
975,325,TGI,NA
976,326,angle,NA
977,326,abc,NA
978,326,TGI,NA
979,327,angle,NA
980,327,abc,NA
981,327,TGI,NA
982,328,angle,NA
983,328,abc,NA
984,328,TGI,NA
985,329,angle,NA
986,329,abc,NA
987,329,TGI,NA
988,330,angle,NA
989,330,abc,NA
990,330,TGI,NA
991,331,angle,NA
992,331,abc,NA
993,331,TGI,NA
994,332,angle,NA
995,332,abc,NA
996,332,TGI,NA
997,333,angle,NA
998,333,abc,NA
999,333,TGI,NA
1000,334,angle,NA
1001,334,abc,NA
1002,334,TGI,NA
1003,335,angle,NA
1004,335,abc,NA
1005,335,TGI,NA
1006,336,angle,NA
1007,336,abc,NA
1008,336,TGI,NA
1009,337,angle,NA
1010,337,abc,NA
1011,337,TGI,NA
1012,338,angle,NA
1013,338,abc,NA
1014,338,TGI,NA
1015,339,angle,NA
1016,339,abc,NA
1017,339,TGI,NA
1018,340,angle,NA
1019,340,abc,NA
1020,340,TGI,NA
1021,341,angle,NA
1022,341,abc,NA
1023,341,TGI,NA
1024,342,angle,NA
1025,342,abc,NA
1026,342,TGI,NA
1027,343,angle,NA
1028,343,abc,NA
1029,343,TGI,NA
1030,344,angle,NA
1031,344,abc,NA
1032,344,TGI,NA
1033,345,angle,NA
1034,345,abc,NA
1035,345,TGI,NA
1036,346,angle,NA
1037,346,abc,NA
1038,346,TGI,NA
1039,347,angle,NA
1040,347,abc,NA
1041,347,TGI,NA
1042,348,angle,NA
1043,348,abc,NA
1044,348,TGI,NA
1045,349,angle,NA
1046,349,abc,NA
1047,349,TGI,NA
1048,350,angle,NA
1049,350,abc,NA
1050,350,TGI,NA
1051,351,angle,NA
1052,351,abc,NA
1053,351,TGI,NA
1054,352,angle,NA
1055,352,abc,NA
1056,352,TGI,NA
1057,353,angle,NA
1058,353,abc,NA
1059,353,TGI,NA
1060,354,angle,NA
1061,354,abc,NA
1062,354,TGI,NA
1063,355,angle,NA
1064,355,abc,NA
1065,355,TGI,NA
1066,356,angle,NA
1067,356,abc,NA
1068,356,TGI,NA
1069,357,angle,NA
1070,357,abc,NA
1071,357,TGI,NA
1072,358,angle,-0.3044
1073,358,abc,-171.6756
1074,358,TGI,4.2441
1075,359,angle,-1.2408
1076,359,abc,-227.6679
1077,359,TGI,3.7236
1078,360,angle,134.8462
1079,360,abc,115.6638
1080,360,TGI,-3.1903
1081,361,angle,79.9043
1082,361,abc,301.4514
1083,361,TGI,-10.8052
1084,362,angle,99.7467
1085,362,abc,286.3475
1086,362,TGI,-11.3923
1087,363,angle,162.2169
1088,363,abc,404.9322
1089,363,TGI,-13.4606
1090,364,angle,146.5689
1091,364,abc,94.9518
1092,364,TGI,-5.0539
1093,365,angle,124.7057
1094,365,abc,244.1235
1095,365,TGI,-5.0363
1096,366,angle,0.5981
1097,366,abc,-97.2921
1098,366,TGI,-1.2075
1099,367,angle,-1.3252
1100,367,abc,-196.6429
1101,367,TGI,0.8178
1102,368,angle,5.7724
1103,368,abc,107.2460
1104,368,TGI,-5.5319
1105,369,angle,-0.2288
1106,369,abc,-129.0191
1107,369,TGI,3.6967
1108,370,angle,0.5849
1109,370,abc,-103.8750
1110,370,TGI,1.5777
1111,371,angle,-3.4604
1112,371,abc,-750.9429
1113,371,TGI,18.5803
1114,372,angle,6.8564
1115,372,abc,131.0783
1116,372,TGI,-4.9010
1117,373,angle,10.1718
1118,373,abc,125.0062
1119,373,TGI,-5.6010
1120,374,angle,166.7675
1121,374,abc,40.4636
1122,374,TGI,-2.1880
1123,375,angle,22.0445
1124,375,abc,245.1559
1125,375,TGI,-9.4800
1126,376,angle,9.3568
1127,376,abc,204.3610
1128,376,TGI,-9.2147
1129,377,angle,NA
1130,377,abc,NA
1131,377,TGI,NA
1132,378,angle,NA
1133,378,abc,NA
1134,378,TGI,NA
1135,379,angle,NA
1136,379,abc,NA
1137,379,TGI,NA
1138,380,angle,NA
1139,380,abc,NA
1140,380,TGI,NA
1141,381,angle,NA
1142,381,abc,NA
1143,381,TGI,NA
1144,382,angle,NA
1145,382,abc,NA
1146,382,TGI,NA
1147,383,angle,NA
1148,383,abc,NA
1149,383,TGI,NA
1150,384,angle,NA
1151,384,abc,NA
1152,384,TGI,NA
1153,385,angle,NA
1154,385,abc,NA
1155,385,TGI,NA
1156,386,angle,NA
1157,386,abc,NA
1158,386,TGI,NA
1159,387,angle,NA
